"","X1426642_at","X1418765_at","X1420085_at","X1418863_at","X1425463_at","X1416967_at","File.name","Embryonic.day","Total.number.of.cells","lineage","genotype","ScanDate","sampleGroup","sampleColour"
"1 E3.25",6.60837416758093,11.9563020232962,3.02771489507395,4.84313678458682,5.50061848694234,1.73121730904331,"1_C32_IN","E3.25","32","","WT","2011-03-16","E3.25","#CAB2D6"
"2 E3.25",7.38525279170537,9.2330604223062,9.2930164833314,5.53001617687309,6.16090045613974,9.69703824289936,"2_C32_IN","E3.25","32","","WT","2011-03-16","E3.25","#CAB2D6"
"3 E3.25",5.68325468571778,11.2433671891821,2.94014204987002,4.4180591827606,4.584961196863,4.16124031193998,"3_C32_IN","E3.25","32","","WT","2011-03-16","E3.25","#CAB2D6"
"4 E3.25",6.39476015140898,10.8181677083036,9.71524300049331,5.98231362960027,4.75343878342235,9.54012347061584,"4_C32_IN","E3.25","32","","WT","2011-03-16","E3.25","#CAB2D6"
"5 E3.25",7.87415547504703,10.0979039795885,8.92422777122904,4.92358016556449,4.62972803301723,8.7053401179627,"5_C32_IN","E3.25","32","","WT","2011-03-16","E3.25","#CAB2D6"
"6 E3.25",6.10493174221851,10.3901776370411,11.325951653495,4.0685197891335,4.1656917546113,8.69622761314818,"6_C32_IN","E3.25","32","","WT","2011-03-16","E3.25","#CAB2D6"
"7 E3.25",5.52815584768335,10.7716981170037,8.05526273186648,4.895993606968,4.24966997653576,5.21515770596403,"7_C32_IN","E3.25","32","","WT","2011-03-16","E3.25","#CAB2D6"
"8 E3.25",5.80162221137974,9.1216227612615,9.44439683277343,4.38989843760841,4.21613087454491,9.09539987440454,"8_C32_IN","E3.25","32","","WT","2011-03-16","E3.25","#CAB2D6"
"9 E3.25",7.62106807205005,10.4640114138465,3.97816897925231,4.38033951813008,4.50890953119716,9.03344678805145,"9_C32_IN","E3.25","32","","WT","2011-03-16","E3.25","#CAB2D6"
"10 E3.25",8.50790628738667,10.9625258012865,8.92851110904789,4.38228970711153,4.1574793775003,7.97982185073492,"10_C32_IN","E3.25","32","","WT","2011-03-16","E3.25","#CAB2D6"
"11 E3.25",7.62074333563915,10.9869069275518,6.52761146950242,4.78133375968738,4.48183293116162,5.94636164505615,"11_C32_IN","E3.25","32","","WT","2011-03-16","E3.25","#CAB2D6"
"12 E3.25",9.02886112262185,10.9086897925954,8.31817574061839,4.07063731805329,4.25223711822462,9.88308528699421,"12_C33_IN","E3.25","33","","WT","2011-03-15","E3.25","#CAB2D6"
"13 E3.25",5.85304711072606,9.8803270079266,3.89170136733595,4.45324452924195,4.69056366661657,9.61332808460607,"13_C33_IN","E3.25","33","","WT","2011-03-15","E3.25","#CAB2D6"
"14 E3.25",8.57217232273274,6.98871661848159,10.5978185952196,4.12434959459374,4.82291311829741,8.55302681117188,"14_C33_IN","E3.25","33","","WT","2011-03-15","E3.25","#CAB2D6"
"15 E3.25",7.38018009934019,9.85575084694863,10.5952452180733,4.54665418400737,4.63291674577038,8.68804630726186,"15_C33_IN","E3.25","33","","WT","2011-03-15","E3.25","#CAB2D6"
"16 E3.25",8.54113029610713,9.48599745363483,9.15307809623819,4.20039849248395,4.58280181724947,8.61300127684762,"16_C33_IN","E3.25","33","","WT","2011-03-15","E3.25","#CAB2D6"
"17 E3.25",8.24603769147865,10.2191123716003,10.2943356033753,4.15978804653376,4.38794912320551,8.68131358892217,"17_C33_IN","E3.25","33","","WT","2011-03-15","E3.25","#CAB2D6"
"18 E3.25",6.40052856921607,9.95234048869255,2.73070264647491,4.01677291761381,4.1801923671781,9.42838619734762,"18_C34_IN","E3.25","34","","WT","2010-07-02","E3.25","#CAB2D6"
"19 E3.25",9.22759519906282,11.283496401287,8.23311662144866,4.15613548741796,4.07194384391093,9.86758461510339,"19_C34_IN","E3.25","34","","WT","2010-07-02","E3.25","#CAB2D6"
"20 E3.25",10.3739959158282,7.88274044482726,10.5405703004456,3.9362603475514,4.16881028589973,10.4429174008643,"20_C34_IN","E3.25","34","","WT","2010-07-02","E3.25","#CAB2D6"
"21 E3.25",10.1114042207871,9.81588973889513,10.830471694534,4.0947798268907,3.81471524164647,10.3362821723194,"21_C34_IN","E3.25","34","","WT","2010-07-02","E3.25","#CAB2D6"
"22 E3.25",7.85706201856986,10.9516133543207,2.92202630537464,4.13259074054223,6.43207953428755,10.8582473291655,"22_C34_IN","E3.25","34","","WT","2010-07-02","E3.25","#CAB2D6"
